Fretboard Notes and Frequencies

Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
Permission is granted to copy. distribute and/or modify this document
under the terms of the Attribution-NonCommercial 4.0 International License

This book is distributed in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail.com

4-String Bass


-12 Frets

S   4              3              2              1

0   E1   20.60172  A2   27.5      D2   36.7081   G2   48.99943
1   F1   21.82676  Bb2  29.13524  D#2  38.89087  G#2  51.91309
2   F#1  23.12465  B2   30.86771  E2   41.20344  A3   55
3   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047
4   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541
5   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
6   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
7   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
8   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
9   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
10  D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
11  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
12  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
13  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
14  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
15  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
16  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
17  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
18  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
19  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
20  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
21  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
22  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
23  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
24  E3   82.40689  A4   110       D4   146.8324  G4   195.9977

-11 Frets

S   4              3              2              1

0   F1   21.82676  Bb2  29.13524  D#2  38.89087  G#2  51.91309
1   F#1  23.12465  B2   30.86771  E2   41.20344  A3   55
2   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047
3   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541
4   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
5   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
6   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
7   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
8   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
9   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
10  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
11  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
12  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
13  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
14  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
15  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
16  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
17  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
18  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
19  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
20  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
21  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
22  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
23  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
24  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523

-10 Frets

S   4              3              2              1

0   F#1  23.12465  B2   30.86771  E2   41.20344  A3   55
1   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047
2   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541
3   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
4   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
5   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
6   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
7   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
8   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
9   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
10  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
11  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
12  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
13  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
14  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
15  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
16  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
17  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
18  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
19  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
20  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
21  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
22  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
23  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
24  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220

-9 Frets

S   4              3              2              1

0   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047
1   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541
2   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
3   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
4   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
5   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
6   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
7   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
8   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
9   E2   41.20344  A3   55        D3   73.41619  G3   97.99886
10  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
11  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
12  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
13  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
14  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
15  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
16  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
17  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
18  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
19  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
20  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
21  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
22  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
23  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220
24  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819

-8 Frets

S   4              3              2              1

0   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541
1   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
2   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
3   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
4   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
5   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
6   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
7   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
8   E2   41.20344  A3   55        D3   73.41619  G3   97.99886
9   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
10  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
11  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
12  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
13  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
14  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
15  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
16  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
17  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
18  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
19  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
20  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
21  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
22  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220
23  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819
24  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417

-7 Frets

S   4              3              2              1

0   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639
1   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
2   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
3   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
4   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
5   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
6   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
7   E2   41.20344  A3   55        D3   73.41619  G3   97.99886
8   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
9   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
10  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
11  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708
12  A3   55        D3   73.41619  G3   97.99886  C4   130.8128
13  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913
14  B3   61.73541  E3   82.40689  A4   110       D4   146.8324
15  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635
16  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324
17  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141
18  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972
19  E3   82.40689  A4   110       D4   146.8324  G4   195.9977
20  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523
21  F#3  92.49861  B4   123.4708  E4   164.8324  A5   220
22  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819
23  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417
24  A4   110       D4   146.8324  G4   195.9977  C5   261.6256

-6 Frets

S   4              3              2              1

0   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566
1   B2   30.86771  E2   41.20344  A3   55        D3   73.41619
2   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175
3   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689
4   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
5   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
6   E2   41.20344  A3   55        D3   73.41619  G3   97.99886
7   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
