Fretboard Notes and Frequencies

Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
Permission is granted to copy. distribute and/or modify this document
under the terms of the Attribution-NonCommercial 4.0 International License

This book is distributed in the hope that it will be useful,
but WITHOUT ANY WARRANTY; without even the implied warranty of
MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

You may contact the writer of this document at: ambientmine AT protonmail.com

5-String Bass

-2 Frets

S   5              4              3              2              1

0   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706
1   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
2   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
3   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
4   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
5   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
6   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  C4   123.4708
7   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C#4  130.8128
8   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  D4   138.5913
9   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D#4  146.8324
10  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  E4   155.5635
11  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  F4   164.8138
12  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F#4  174.6141
13  Bb3  58.27047  D#3  77.78175  G#3  103.8162  C#4  138.5913  G4   184.9972
14  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G#4  195.9977
15  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  A5   220
16  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  Bb5  233.0819
17  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  B5   246.9417
18  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  C5   261.6256
19  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C#5  277.1826
20  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  D5   293.6648
21  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D#5  311.127
22  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  E5   329.6276
23  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  F5   349.2282
24  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F#5  369.9944

-1 Fret

S   5              4              3              2              1

0   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861
1   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
2   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
3   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
4   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
5   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  C4   123.4708
6   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C#4  130.8128
7   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  D4   138.5913
8   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D#4  146.8324
9   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  E4   155.5635
10  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  F4   164.8138
11  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F#4  174.6141
12  Bb3  58.27047  D#3  77.78175  G#3  103.8162  C#4  138.5913  G4   184.9972
13  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G#4  195.9977
14  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  A5   220
15  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  Bb5  233.0819
16  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  B5   246.9417
17  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  C5   261.6256
18  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C#5  277.1826
19  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  D5   293.6648
20  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D#5  311.127
21  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  E5   329.6276
22  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  F5   349.2282
23  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F#5  369.9944
24  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  G5   391.9954

Standard Tuning

S   5              4              3              2              1

0   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  G3   97.99886
1   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262
2   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110
3   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409
4   D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  C4   123.4708
5   E2   41.20344  A3   55        D3   73.41619  G3   97.99886  C#4  130.8128
6   F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  D4   138.5913
7   F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       D#4  146.8324
8   G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  E4   155.5635
9   G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  F4   164.8138
10  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  F#4  174.6141
11  Bb3  58.27047  D#3  77.78175  G#3  103.8162  C#4  138.5913  G4   184.9972
12  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  G#4  195.9977
13  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  A5   220
14  C#3  69.29566  F#3  92.49861  B4   123.4708  E4   164.8138  Bb5  233.0819
15  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  B5   246.9417
16  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  C5   261.6256
17  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  C#5  277.1826
18  F3   87.30706  Bb4  116.5409  D#4  155.5635  G#4  207.6523  D5   293.6648
19  F#3  92.49861  B4   123.4708  E4   164.8138  A5   220       D#5  311.127
20  G3   97.99886  C4   130.8128  F4   174.6141  Bb5  233.0819  E5   329.6276
21  G#3  103.8262  C#4  138.5913  F#4  184.9972  B5   246.9417  F5   349.2282
22  A4   110       D4   146.8324  G4   195.9977  C5   261.6256  F#5  369.9944
23  Bb4  116.5409  D#4  155.5635  G#4  207.6523  C#5  277.1826  G5   391.9954
24  B4   123.4708  E4   164.8138  A5   220       D5   293.6648  G#5  415.3047
