Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail DOT com

Tenor Banjo (CGDA) (19 Frets)


-12 Frets

    4               3               2               1

0   C#3  69.29566   G#3  103.8262   D#4  155.5635   Bb5  233.0819
1   D3   73.41619   A4   110        E4   164.8138   B5   246.9417
2   D#3  77.78175   Bb4  116.5409   F4   174.6141   C5   261.6256
3   E3   82.40689   B4   123.4708   F#4  184.9972   C#5  277.1826
4   F3   87.30706   C4   130.8128   G4   195.9977   D5   293.6648
5   F#3  92.49861   C#4  138.5913   G#4  207.6523   D#5  311.127
6   G3   97.99886   D4   146.8324   A5   220        E5   329.6276
7   G#3  103.8262   D#4  155.5635   Bb5  233.0819   F5   349.2282
8   A4   110        E4   164.8138   B5   246.9417   F#5  369.9944
9   Bb4  116.5409   F4   174.6141   C5   261.6256   G5   391.9954
10  B4   123.4708   F#4  184.9972   C#5  277.1826   G#5  415.3047
11  C4   130.8128   G4   195.9977   D5   293.6648   A6   440
12  C#4  138.5913   G#4  207.6523   D#5  311.127    Bb6  466.1638
13  D4   146.8324   A5   220        E5   329.6276   B6   493.8833
14  D#4  155.5635   Bb5  233.0819   F5   349.2282   C6   523.2511
15  E4   164.8138   B5   246.9517   F#5  369.9944   C#6  554.3653
16  F4   174.6141   C5   261.6156   G5   391.9954   D6   587.3295
17  F#4  184.9972   C#5  277.1826   G#5  415.3047   D#6  622.254
18  G4   195.9977   D5   293.6648   A6   440        E6   659.2551
19  G#4  207.6523   D#5  311.127    Bb6  466.1638   F6   698.4565

-11 Frets

    4               3               2               1

0   D3   73.41619   A4   110        E4   164.8138   B5   246.9417
1   D#3  77.78175   Bb4  116.5409   F4   174.6141   C5   261.6256
2   E3   82.40689   B4   123.4708   F#4  184.9972   C#5  277.1826
3   F3   87.30706   C4   130.8128   G4   195.9977   D5   293.6648
4   F#3  92.49861   C#4  138.5913   G#4  207.6523   D#5  311.127
5   G3   97.99886   D4   146.8324   A5   220        E5   329.6276
6   G#3  103.8262   D#4  155.5635   Bb5  233.0819   F5   349.2282
7   A4   110        E4   164.8138   B5   246.9417   F#5  369.9944
8   Bb4  116.5409   F4   174.6141   C5   261.6256   G5   391.9954
9   B4   123.4708   F#4  184.9972   C#5  277.1826   G#5  415.3047
10  C4   130.8128   G4   195.9977   D5   293.6648   A6   440
