Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine@protonmail.com


6-String Guitar

-24 Frets
    S   6              5              4              3              2              1

    0   E1   20.60172  A2   27.5      D2   36.7081   G2   48.99943  B3   61.73541  E3   82.40689
    1   F1   21.82676  Bb2  29.13524  D#2  38.89087  G#2  51.91309  C3   65.40639  F3   87.30706
    2   F#1  23.12465  B2   30.86771  E2   41.20344  A3   55        C#3  69.29566  F#3  92.49861
    3   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047  D3   73.41619  G3   97.99886
    4   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541  D#3  77.78175  G#3  103.8262
    5   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  E3   82.40689  A4   110
    6   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F3   87.30706  Bb4  116.5409
    7   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  F#3  92.49861  B4   123.4708
    8   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G3   97.99886  C4   130.8128
    9   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  G#3  103.8262  C#4  138.5913
    10  D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  A4   110       D4   146.8324
    11  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  Bb4  116.5409  D#4  155.5635
    12  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  B4   123.4708  E4   164.8138
    13  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C4   130.8128  F4   174.6141
    14  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       C#4  138.5913  F#4  184.9972
    15  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D4   146.8324  G4   195.9977
    16  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  D#4  155.5635  G#4  207.6523
    17  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  E4   164.8324  A5   220
    18  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F4   174.6141  Bb5  233.0819
    19  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  F#4  184.9972  B5   246.9417
    20  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G4   195.9977  C5   261.6256
    21  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  G#4  207.6523  C#5  277.1826
    22  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
    23  D#3  77.78175  G#3  103.8262  C#4  138.5913  F#4  184.9972  Bb5  233.0819  D#5  311.127
    24  E3   82.40689  A4   110       D4   146.8324  G4   195.9977  B5   246.9417  E5   329.6276

-23 Frets
    S   6              5              4              3              2              1

    0   F1   21.82676  Bb2  29.13524  D#2  38.89087  G#2  51.91309  C3   65.40639  F3   87.30706
    1   F#1  23.12465  B2   30.86771  E2   41.20344  A3   55        C#3  69.29566  F#3  92.49861
    2   G1   24.49971  C2   32.7032   F2   43.65353  Bb3  58.27047  D3   73.41619  G3   97.99886
    3   G#1  25.95654  C#2  34.64783  F#2  46.2493   B3   61.73541  D#3  77.78175  G#3  103.8262
    4   A2   27.5      D2   36.7081   G2   48.99943  C3   65.40639  E3   82.40689  A4   110
    5   Bb2  29.13524  D#2  38.89087  G#2  51.91309  C#3  69.29566  F3   87.30706  Bb4  116.5409
    6   B2   30.86771  E2   41.20344  A3   55        D3   73.41619  F#3  92.49861  B4   123.4708
    7   C2   32.7032   F2   43.65353  Bb3  58.27047  D#3  77.78175  G3   97.99886  C4   130.8128
    8   C#2  34.64783  F#2  46.2493   B3   61.73541  E3   82.40689  G#3  103.8262  C#4  138.5913
    9   D2   36.7081   G2   48.99943  C3   65.40639  F3   87.30706  A4   110       D4   146.8324
    10  D#2  38.89087  G#2  51.91309  C#3  69.29566  F#3  92.49861  Bb4  116.5409  D#4  155.5635
    11  E2   41.20344  A3   55        D3   73.41619  G3   97.99886  B4   123.4708  E4   164.8138
    12  F2   43.65353  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C4   130.8128  F4   174.6141
    13  F#2  46.2493   B3   61.73541  E3   82.40689  A4   110       C#4  138.5913  F#4  184.9972
    14  G2   48.99943  C3   65.40639  F3   87.30706  Bb4  116.5409  D4   146.8324  G4   195.9977
    15  G#2  51.91309  C#3  69.29566  F#3  92.49861  B4   123.4708  D#4  155.5635  G#4  207.6523
    16  A3   55        D3   73.41619  G3   97.99886  C4   130.8128  E4   164.8324  A5   220
    17  Bb3  58.27047  D#3  77.78175  G#3  103.8262  C#4  138.5913  F4   174.6141  Bb5  233.0819
    18  B3   61.73541  E3   82.40689  A4   110       D4   146.8324  F#4  184.9972  B5   246.9417
    19  C3   65.40639  F3   87.30706  Bb4  116.5409  D#4  155.5635  G4   195.9977  C5   261.6256
    20  C#2  69.29566  F#3  92.49861  B4   123.4708  E4   164.8324  G#4  207.6523  C#5  277.1826
    21  D3   73.41619  G3   97.99886  C4   130.8128  F4   174.6141  A5   220       D5   293.6648
