    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

0   E2   41.20344  B4   123.4708  F#4  184.9972  C#5  277.1826
1   F2   43.65353  C4   130.8128  G4   195.9977  D5   293.6648
2   F#2  46.2493   C#4  138.5913  G#4  207.6523  D#5  311.127
3   G2   48.99943  D4   146.8324  A5   220       E5   329.6276
4   G#2  51.91309  D#4  155.5635  Bb5  233.0819  F5   349.2282
5   A3   55        E4   164.8138  B5   246.9417  F#5  369.9944
6   Bb3  58.27047  F4   174.6141  C5   261.6256  G5   391.9954
7   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
8   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
9   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
10  D3   73.41619  A5   220       E5   329.6176  B6   493.8833
11  D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
12  E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
13  F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
14  F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
15  G3   97.99886  D5   293.6648  A6   440       E6   659.2551
16  G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565

-14 Frets

    4              3              2              1
    
0   F2   43.65353  C4   130.8128  G4   195.9977  D5   293.6648
1   F#2  46.2493   C#4  138.5913  G#4  207.6523  D#5  311.127
2   G2   48.99943  D4   146.8324  A5   220       E5   329.6276
3   G#2  51.91309  D#4  155.5635  Bb5  233.0819  F5   349.2282
4   A3   55        E4   164.8138  B5   246.9417  F#5  369.9944
5   Bb3  58.27047  F4   174.6141  C5   261.6256  G5   391.9954
6   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
7   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
8   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
9   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
10  D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
11  E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
12  F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
13  F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
14  G3   97.99886  D5   293.6648  A6   440       E6   659.2551
15  G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
16  A4   110       E5   329.6276  B6   493.8833  F#6  739.9888

-13 Frets

    4              3              2              1

0   F#2  46.2493   C#4  138.5913  G#4  207.6523  D#5  311.127
1   G2   48.99943  D4   146.8324  A5   220       E5   329.6276
2   G#2  51.91309  D#4  155.5635  Bb5  233.0819  F5   349.2282
3   A3   55        E4   164.8138  B5   246.9417  F#5  369.9944
4   Bb3  58.27047  F4   174.6141  C5   261.6256  G5   391.9954
5   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
6   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
7   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
8   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
9   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
10  E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
11  F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
12  F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
13  G3   97.99886  D5   293.6648  A6   440       E6   659.2551
14  G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
15  A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
16  Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909

-12 Frets

    4              3              2              1

0   G2   48.99943  D4   146.8324  A5   220       E5   329.6276
1   G#2  51.91309  D#4  155.5635  Bb5  233.0819  F5   349.2282
2   A3   55        E4   164.8138  B5   246.9417  F#5  369.9944
3   Bb3  58.27047  F4   174.6141  C5   261.6256  G5   391.9954
4   B3   61.73541  F#4  184.9972  C#5  277.1826  G#5  415.3047
5   C3   65.40639  G4   195.9977  D5   293.6648  A6   440  
6   C#3  69.29566  G#4  207.6523  D#5  311.127   Bb6  466.1638  
7   D3   73.41619  A5   220       E5   329.6176  B6   493.8833
8   D#3  77.78175  Bb5  233.0819  F5   349.2282  C6   523.2511
9   E3   82.40689  B5   246.9417  F#5  369.9944  C#6  554.3653
10  F3   87.30706  C5   261.6256  G5   391.9954  D6   587.3295
11  F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
